Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
001F3,16.262,0.000,0.000,0.000,0.000,0.000,0.000,14.262,0.190,30,4,W,Working
001G6,29.500,0.167,0.083,0.000,0.000,0.083,0.250,21.625,0.750,30,3,A,Resign
001H5,12.042,0.083,0.917,0.417,0.000,1.333,1.417,10.292,0.167,29,2,D,Resign
001K1,40.625,0.000,0.250,0.000,0.000,0.250,0.250,27.500,1.250,20,1,A,Resign
001K6,0.455,0.364,1.364,0.000,0.000,1.364,1.727,0.455,0.000,27,0,D,Resign
002A1,50.192,0.000,0.000,0.000,0.000,0.000,0.000,36.731,1.282,43,8,W,Working
002H9,23.500,0.000,0.000,0.000,0.000,0.000,0.000,18.500,0.476,28,2,W,Working
002K1,27.128,0.000,0.103,0.000,0.000,0.103,0.103,24.974,0.205,24,2,W,Working
002K2,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.000,0.000,28,1,A,Resign
002K5,42.308,0.000,0.077,0.410,0.000,0.487,0.487,31.538,1.026,38,1,W,Working
002K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23,0,D,Resign
003F9,35.357,0.000,0.095,0.333,0.000,0.429,0.429,29.857,0.524,25,4,W,Working
003G9,18.750,0.000,0.000,0.250,0.000,0.250,0.250,18.750,0.000,24,3,A,Resign
003H3,21.667,0.238,0.095,0.333,0.190,0.619,0.857,17.667,0.381,39,3,W,Working
003H8,23.707,0.310,0.552,0.034,0.000,0.586,0.897,20.086,0.345,21,2,D,Resign
003K3,37.619,0.190,1.048,0.000,0.000,1.048,1.238,29.119,0.810,23,1,W,Working
003K6,3.750,0.500,0.000,0.000,0.000,0.000,0.500,3.750,0.000,25,0,D,Resign
004A1,41.487,0.000,0.051,0.000,0.000,0.051,0.051,29.910,1.103,38,8,W,Working
004F3,9.375,0.000,0.500,0.000,0.000,0.500,0.500,9.375,0.000,28,3,A,Resign
004F9,32.857,0.000,0.000,0.333,0.000,0.333,0.333,28.857,0.381,28,4,W,Working
004G1,18.050,0.200,0.300,0.100,0.000,0.400,0.600,14.900,0.300,31,3,D,Resign
004G6,3.810,0.190,0.000,0.143,0.000,0.143,0.333,3.810,0.000,30,4,W,Working
004G7,53.086,0.000,0.000,0.000,0.000,0.000,0.000,38.986,1.343,28,4,W,Working
004H2,16.071,0.000,0.000,0.381,0.000,0.381,0.381,13.571,0.238,21,3,W,Working
004H8,19.625,0.250,0.500,0.000,0.000,0.500,0.750,17.000,0.250,21,2,A,Resign
004K2,52.905,0.000,0.000,0.000,0.000,0.000,0.000,37.405,1.476,37,3,W,Working
004K6,0.000,0.067,3.067,0.067,0.000,3.133,3.200,0.000,0.000,21,0,W,Working
005H3,22.650,0.100,1.200,0.000,0.000,1.200,1.300,18.450,0.400,21,2,A,Resign
005H8,26.197,0.606,0.242,0.000,0.000,0.242,0.848,22.379,0.364,21,3,W,Working
005K2,41.553,0.000,0.000,0.000,0.000,0.000,0.000,32.158,0.895,39,3,A,Resign
005K6,0.000,0.250,1.000,0.000,0.000,1.000,1.250,0.000,0.000,40,0,A,Resign
006A1,48.838,0.000,0.100,0.400,0.150,0.650,0.650,34.925,1.325,42,7,W,Working
006F1,16.310,0.000,0.000,0.000,0.000,0.000,0.000,13.810,0.238,39,4,W,Working
006G9,33.714,0.095,0.095,0.000,0.000,0.095,0.190,29.714,0.381,47,3,W,Working
006H9,31.737,1.368,0.263,0.526,0.158,0.947,2.316,21.789,0.947,26,2,D,Resign
006K2,45.548,0.000,0.429,0.000,0.000,0.429,0.429,33.548,1.143,25,3,W,Working
006K4,11.558,0.000,0.808,0.500,0.000,1.308,1.308,11.558,0.000,22,1,W,Working
006K6,0.000,0.625,0.875,0.000,0.000,0.875,1.500,0.000,0.000,23,0,D,Resign
007D6,32.615,0.000,0.000,0.000,0.256,0.256,0.256,29.385,0.308,40,5,W,Working
007F9,26.357,0.000,0.000,0.000,0.143,0.143,0.143,21.857,0.429,26,4,W,Working
007H4,12.381,0.095,0.619,0.095,0.000,0.714,0.810,12.381,0.000,28,3,W,Working
007H6,13.029,0.000,0.000,0.000,0.000,0.000,0.000,10.559,0.235,27,3,A,Resign
007K4,36.615,0.000,0.308,0.000,0.000,0.308,0.308,26.519,0.962,19,1,W,Working
007K5,45.550,0.050,0.500,0.000,0.000,0.500,0.550,34.788,1.025,25,1,W,Working
007K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28,0,A,Resign
008A1,48.590,0.103,0.205,0.000,0.154,0.359,0.462,35.128,1.282,45,7,W,Working
008G1,17.100,0.000,0.000,0.000,0.000,0.000,0.000,16.050,0.100,36,3,A,Resign
008G9,51.024,0.000,0.000,0.000,0.333,0.333,0.333,36.524,1.381,29,3,W,Working
008H7,15.833,0.095,0.095,0.000,0.000,0.095,0.190,13.333,0.238,30,3,W,Working
008K4,51.659,0.045,0.000,0.000,0.000,0.000,0.045,40.205,1.091,39,1,A,Resign
008K5,25.269,0.718,0.256,0.000,0.000,0.256,0.974,22.577,0.256,23,1,W,Working
008K6,48.167,0.000,0.000,0.000,0.000,0.000,0.000,36.267,1.133,22,0,W,Working
009F5,11.048,0.000,0.095,0.429,0.000,0.524,0.524,10.048,0.095,38,4,W,Working
009H7,11.976,0.000,0.048,0.000,0.000,0.048,0.048,9.976,0.190,42,3,W,Working
009H9,17.125,0.000,0.250,0.000,0.000,0.250,0.250,14.500,0.250,27,2,A,Resign
009K2,55.095,0.095,0.000,0.000,0.000,0.000,0.095,39.095,1.524,23,1,W,Working
009K3,36.429,0.429,0.286,0.143,0.000,0.429,0.857,27.429,0.857,27,1,D,Resign
009K4,35.731,0.000,0.038,0.308,0.192,0.538,0.538,26.846,0.846,19,1,W,Working
009K6,3.667,0.133,0.067,0.000,0.000,0.067,0.200,3.667,0.000,26,0,W,Working
010F2,30.308,0.154,0.615,0.308,0.000,0.923,1.077,23.038,0.692,37,4,A,Resign
010G6,13.714,0.000,0.000,0.000,0.000,0.000,0.000,12.214,0.143,40,4,W,Working
010K3,13.583,0.667,0.000,0.000,0.833,0.833,1.500,13.583,0.000,20,0,D,Resign
010K6,22.833,0.600,0.467,0.000,0.000,0.467,1.067,19.333,0.333,23,0,D,Resign
011A4,52.595,0.000,0.000,0.286,0.000,0.286,0.286,39.095,1.286,44,6,W,Working
011G9,53.048,0.000,0.048,0.095,0.000,0.143,0.143,38.548,1.381,26,3,W,Working
011H1,10.324,0.353,0.353,0.059,0.471,0.882,1.235,8.471,0.176,23,3,A,Resign
011H3,11.571,0.000,0.000,0.000,0.000,0.000,0.000,10.071,0.143,39,3,W,Working
011H7,41.381,0.000,0.048,0.000,0.000,0.048,0.048,31.881,0.905,40,3,W,Working
011K1,30.250,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.500,22,1,A,Resign
011K2,48.667,0.381,0.571,0.000,0.000,0.571,0.952,35.167,1.286,27,1,W,Working
011K3,25.579,0.842,0.368,0.105,0.211,0.684,1.526,19.500,0.579,21,1,A,Resign
011K4,26.250,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.500,34,0,A,Resign
011K6,0.577,0.231,0.692,0.154,0.000,0.846,1.077,0.577,0.000,20,0,D,Resign
012F1,12.929,0.095,0.667,0.000,0.000,0.667,0.762,10.929,0.190,43,4,W,Working
012G6,16.450,0.000,1.400,0.000,0.000,1.400,1.400,14.350,0.200,30,3,D,Resign
012H7,3.810,0.286,0.286,0.000,0.000,0.286,0.571,3.810,0.000,24,3,W,Working
012K4,48.590,0.359,1.000,0.205,0.179,1.385,1.744,34.859,1.308,33,1,W,Working
012K5,44.273,0.000,0.182,0.000,0.000,0.182,0.182,32.818,1.091,18,0,A,Resign
012K6,38.433,0.267,0.133,0.133,0.000,0.267,0.533,28.633,0.933,28,0,W,Working
013A1,5.333,0.111,1.194,0.583,0.000,1.778,1.889,4.750,0.056,42,7,A,Resign
013H6,14.643,0.000,0.476,0.048,0.000,0.524,0.524,12.143,0.238,23,3,W,Working
013K5,49.526,0.821,0.051,0.462,0.000,0.513,1.333,36.333,1.256,29,1,W,Working
013K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27,0,D,Resign
014H9,18.833,0.048,0.095,0.000,0.000,0.095,0.143,17.333,0.143,21,2,W,Working
014K1,36.875,0.250,0.000,0.000,0.000,0.000,0.250,23.750,1.250,28,1,A,Resign
014K5,55.244,0.000,0.000,0.000,0.000,0.000,0.000,40.974,1.359,40,1,W,Working
014K6,2.667,1.267,0.867,0.000,0.267,1.133,2.400,2.667,0.000,36,0,W,Working
015D9,26.756,0.564,0.538,0.000,0.000,0.538,1.103,22.449,0.410,26,5,W,Working
015G9,51.643,0.000,0.000,0.095,0.286,0.381,0.381,38.143,1.286,40,3,W,Working
015H7,8.750,0.250,1.000,0.000,0.000,1.000,1.250,8.750,0.000,22,2,D,Resign
015K2,46.500,0.333,0.000,0.000,0.000,0.000,0.333,34.000,1.190,23,1,W,Working
015K4,32.808,1.308,0.462,0.000,0.000,0.462,1.769,25.538,0.692,23,0,A,Resign
015K5,49.773,0.000,0.000,0.000,0.000,0.000,0.000,35.455,1.364,37,0,A,Resign
015K6,33.036,0.143,0.643,0.143,0.000,0.786,0.929,26.286,0.643,20,0,W,Working
016G4,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.000,30,3,A,Resign
016G8,20.310,0.000,0.476,0.000,0.000,0.476,0.476,18.310,0.190,37,3,W,Working
016H7,15.119,0.000,0.000,0.429,0.000,0.429,0.429,12.619,0.238,22,3,W,Working
016K1,25.372,0.385,0.410,0.103,0.000,0.513,0.897,22.141,0.308,21,2,W,Working
016K5,40.545,0.182,0.545,0.000,0.000,0.545,0.727,30.045,1.000,34,0,A,Resign
016K6,3.929,0.000,0.000,0.000,0.000,0.000,0.000,3.929,0.000,20,0,A,Resign
017A1,38.654,0.256,0.154,0.051,0.000,0.205,0.462,29.231,0.897,44,7,W,Working
017F8,14.714,0.000,0.000,0.000,0.000,0.000,0.000,12.714,0.190,22,4,W,Working
017H1,12.048,0.000,0.000,0.571,0.000,0.571,0.571,10.548,0.143,41,3,W,Working
017K1,44.115,0.000,0.000,0.051,0.256,0.308,0.308,34.692,0.897,28,2,W,Working
017K6,5.000,1.000,1.000,0.000,0.000,1.000,2.000,5.000,0.000,19,0,D,Resign
018F4,16.200,0.100,0.000,0.000,0.000,0.000,0.100,14.100,0.200,23,4,D,Resign
018F5,16.071,0.000,0.048,0.000,0.000,0.048,0.048,13.571,0.238,37,4,W,Working
018F9,12.000,0.000,0.000,0.500,0.000,0.500,0.500,6.750,0.500,23,3,A,Resign
018H3,23.143,0.143,0.143,0.286,0.000,0.429,0.571,20.143,0.286,27,2,A,Resign
018K4,34.641,0.000,0.308,0.000,0.000,0.308,0.308,28.987,0.538,29,1,W,Working
018K6,31.313,0.333,0.167,0.000,0.000,0.167,0.500,25.188,0.583,24,0,D,Resign
019D3,12.450,0.100,2.900,0.200,0.000,3.100,3.200,10.350,0.200,33,4,A,Resign
019G1,8.071,0.000,0.143,0.000,0.000,0.143,0.143,7.071,0.095,26,4,W,Working
019G9,36.071,0.000,0.214,0.643,0.000,0.857,0.857,28.571,0.714,22,3,D,Resign
019H5,40.250,0.000,0.000,0.000,0.000,0.000,0.000,29.750,1.000,25,2,A,Resign
019H9,10.000,1.000,0.500,0.000,0.000,0.500,1.500,10.000,0.000,31,2,A,Resign
019K2,58.524,0.048,0.286,0.000,0.000,0.286,0.333,41.024,1.667,25,1,W,Working
019K6,6.318,0.364,1.455,0.000,0.000,1.455,1.818,4.409,0.182,20,0,D,Resign
020F6,14.476,0.000,0.000,0.429,0.000,0.429,0.429,12.476,0.190,40,4,W,Working
020H1,12.825,0.100,2.150,0.000,0.000,2.150,2.250,10.725,0.200,35,3,A,Resign
020K2,62.024,0.048,0.095,0.333,0.000,0.429,0.476,42.024,1.905,32,1,W,Working
020K6,40.071,0.357,0.357,0.071,0.500,0.929,1.286,29.946,0.964,26,0,W,Working
021H3,21.714,0.143,0.143,0.286,0.000,0.429,0.571,18.714,0.286,30,2,A,Resign
021H8,7.500,0.250,0.250,0.000,0.000,0.250,0.500,7.500,0.000,23,2,A,Resign
021K1,34.846,0.692,0.231,0.103,0.000,0.333,1.026,28.115,0.641,23,2,W,Working
021K2,34.595,0.571,0.286,0.000,0.571,0.857,1.429,25.095,0.905,24,1,W,Working
021K4,9.375,0.000,0.000,0.000,0.000,0.000,0.000,9.375,0.000,31,0,A,Resign
021K6,36.679,1.036,0.000,0.000,0.000,0.000,1.036,28.429,0.786,20,0,W,Working
022G3,11.500,0.500,0.000,0.000,0.000,0.000,0.500,8.875,0.250,24,3,D,Resign
022G8,16.667,0.000,0.333,0.000,0.000,0.333,0.333,14.167,0.238,33,3,W,Working
022K4,23.739,0.435,0.087,0.000,0.000,0.087,0.522,21.000,0.261,24,1,A,Resign
022K6,3.929,0.000,0.000,0.000,0.000,0.000,0.000,3.929,0.000,24,0,D,Resign
023H4,20.400,0.800,1.000,0.000,0.000,1.000,1.800,16.200,0.400,25,2,A,Resign
023H5,52.024,0.000,0.048,0.000,0.000,0.048,0.048,38.524,1.286,29,3,W,Working
023K3,24.857,0.190,0.000,0.000,0.000,0.000,0.190,23.857,0.095,42,1,W,Working
023K5,19.250,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.500,36,0,A,Resign
023K6,5.714,0.429,0.000,0.000,0.286,0.286,0.714,5.714,0.000,20,0,D,Resign
024G7,38.024,0.333,0.000,0.048,0.000,0.048,0.381,30.024,0.762,26,4,W,Working
024G8,13.792,0.000,0.000,0.000,0.500,0.500,0.500,11.167,0.250,30,3,A,Resign
024H4,18.050,1.200,0.100,0.000,0.600,0.700,1.900,14.900,0.300,28,2,A,Resign
024H6,19.786,0.143,0.000,0.000,0.000,0.000,0.143,18.286,0.143,25,2,D,Resign
024K2,26.107,0.429,0.000,0.429,0.000,0.429,0.857,20.107,0.571,31,1,A,Resign
024K3,11.250,0.600,0.000,0.100,0.400,0.500,1.100,11.250,0.000,38,1,D,Resign
024K5,16.750,0.500,0.000,0.000,0.000,0.000,0.500,11.500,0.500,19,0,A,Resign
024K6,0.000,4.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,30,0,D,Resign
025F1,13.238,0.000,0.000,0.000,0.000,0.000,0.000,11.738,0.143,44,4,W,Working
025F9,40.476,0.000,0.000,0.000,0.143,0.143,0.143,33.976,0.619,22,4,W,Working
025G8,13.952,0.000,0.048,0.000,0.000,0.048,0.048,12.452,0.143,37,3,W,Working
025G9,47.452,0.000,0.048,0.333,0.000,0.381,0.381,35.452,1.143,28,3,W,Working
025K6,58.875,0.071,0.571,0.071,0.000,0.643,0.714,39.750,1.821,27,0,W,Working
026F1,4.571,0.143,0.143,0.000,0.000,0.143,0.286,4.071,0.048,45,4,W,Working
026K2,46.643,0.429,0.071,0.143,0.000,0.214,0.643,33.143,1.286,37,1,A,Resign
026K5,37.500,0.429,0.524,0.190,0.000,0.714,1.143,30.000,0.714,22,1,W,Working
026K6,34.607,0.000,0.000,0.000,0.000,0.000,0.000,29.357,0.500,24,0,W,Working
027F2,39.519,0.538,0.000,0.077,0.000,0.077,0.615,27.404,1.154,26,4,D,Resign
027K2,48.143,0.048,0.000,0.000,0.238,0.238,0.286,35.143,1.238,34,1,W,Working
027K3,25.750,0.000,0.000,0.167,0.000,0.167,0.167,22.250,0.333,36,0,A,Resign
027K6,29.589,0.000,0.286,0.000,0.000,0.286,0.286,23.589,0.571,21,0,D,Resign
028A1,35.375,0.000,0.000,0.000,0.000,0.000,0.000,24.875,1.000,34,6,A,Resign
028F6,10.625,0.000,0.000,0.000,0.000,0.000,0.000,10.625,0.000,30,3,A,Resign
028G9,20.286,0.381,0.000,0.333,0.000,0.333,0.714,17.286,0.286,45,3,W,Working
028H2,11.333,0.000,0.381,0.143,0.000,0.524,0.524,9.833,0.143,24,3,W,Working
028H4,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,24,2,A,Resign
028K5,30.971,0.706,0.294,0.059,0.000,0.353,1.059,25.412,0.529,24,0,D,Resign
028K6,42.214,0.000,0.000,0.000,0.000,0.000,0.000,30.214,1.143,18,0,D,Resign
029A1,57.551,0.000,0.000,0.000,0.256,0.256,0.256,40.590,1.615,43,7,W,Working
029F6,12.762,0.048,0.000,0.524,0.143,0.667,0.714,11.262,0.143,36,4,W,Working
029K5,24.000,0.500,0.000,0.500,0.000,0.500,1.000,21.375,0.250,27,0,D,Resign
029K6,1.591,0.545,0.000,0.000,0.000,0.000,0.545,1.591,0.000,19,0,D,Resign
030A1,50.167,0.000,0.103,0.410,0.000,0.513,0.513,37.513,1.205,41,7,W,Working
030A9,15.250,0.000,0.250,0.000,0.000,0.250,0.250,12.625,0.250,45,5,D,Resign
030F6,40.636,0.000,0.000,0.121,0.000,0.121,0.121,32.364,0.788,37,4,W,Working
030G1,14.048,0.000,0.000,0.000,0.095,0.095,0.095,11.548,0.238,30,4,W,Working
030H9,15.119,0.000,0.000,0.000,0.000,0.000,0.000,12.619,0.238,33,2,W,Working
030K3,56.214,0.000,0.048,0.286,0.000,0.333,0.333,39.714,1.571,22,1,W,Working
030K5,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,26,0,D,Resign
030K6,11.409,0.000,0.000,0.000,0.000,0.000,0.000,8.545,0.273,18,0,D,Resign
031D6,37.551,0.256,0.718,0.000,0.000,0.718,0.974,29.205,0.795,30,5,W,Working
031H6,14.548,0.000,0.000,0.000,0.286,0.286,0.286,13.048,0.143,28,3,W,Working
031K3,44.571,0.190,0.095,0.095,0.000,0.190,0.381,34.071,1.000,21,1,W,Working
031K5,24.952,0.810,1.905,0.143,0.143,2.190,3.000,20.452,0.429,28,1,W,Working
031K6,2.500,0.000,0.000,0.000,0.000,0.000,0.000,2.500,0.000,18,0,A,Resign
032F2,37.962,0.000,0.000,0.000,0.000,0.000,0.000,26.923,1.051,38,4,W,Working
032G9,20.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,26,3,A,Resign
032H2,16.524,0.000,0.333,0.000,0.000,0.333,0.333,15.524,0.095,22,3,W,Working
032K1,47.821,0.000,0.410,0.000,0.000,0.410,0.410,35.705,1.154,23,2,W,Working
032K4,67.163,0.050,0.000,0.000,0.000,0.000,0.050,46.425,1.975,23,1,W,Working
032K6,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,23,0,D,Resign
033F1,15.143,0.048,0.238,0.381,0.000,0.619,0.667,13.643,0.143,35,4,W,Working
033K1,54.385,0.128,0.154,0.051,0.000,0.205,0.333,39.308,1.436,41,2,W,Working
033K4,51.397,0.000,0.103,0.051,0.000,0.154,0.154,37.397,1.333,22,1,W,Working
033K6,7.500,0.000,0.000,2.000,0.000,2.000,2.000,7.500,0.000,21,0,D,Resign
034A1,61.936,0.000,0.077,0.000,0.000,0.077,0.077,43.628,1.744,48,6,W,Working
034G8,37.048,0.000,0.000,0.000,0.000,0.000,0.000,25.548,1.095,27,3,W,Working
034G9,47.095,0.048,0.095,0.048,0.000,0.143,0.190,35.095,1.143,26,3,W,Working
034H2,9.310,0.048,0.476,0.048,0.000,0.524,0.571,7.810,0.143,24,3,W,Working
034H8,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,25,2,D,Resign
034K1,33.250,0.000,0.000,0.000,0.000,0.000,0.000,25.375,0.750,20,1,A,Resign
034K5,35.571,0.238,0.143,0.000,0.000,0.143,0.381,29.571,0.571,23,1,W,Working
034K6,49.268,0.000,1.179,0.071,0.000,1.250,1.250,35.393,1.321,27,0,W,Working
035F3,16.429,0.190,0.238,0.000,0.000,0.238,0.429,13.929,0.238,41,4,W,Working
035G9,27.381,0.000,0.000,0.333,0.333,0.667,0.667,22.381,0.476,36,3,W,Working
035H7,18.800,0.000,0.200,0.000,0.000,0.200,0.200,15.650,0.300,33,2,A,Resign
035K2,20.357,0.667,0.190,0.000,0.000,0.190,0.857,20.357,0.000,24,1,W,Working
035K6,17.500,0.000,0.000,0.000,0.000,0.000,0.000,17.500,0.000,31,0,D,Resign
036F1,15.857,0.286,0.714,0.381,0.000,1.095,1.381,14.357,0.143,40,4,W,Working
036F7,25.071,0.000,0.000,1.143,0.000,1.143,1.143,20.571,0.429,27,3,A,Resign
036K2,17.929,0.524,0.905,0.286,0.000,1.190,1.714,17.929,0.000,26,1,W,Working
036K5,37.571,0.381,1.333,0.048,0.000,1.381,1.762,28.071,0.905,26,1,A,Resign
036K6,27.682,0.000,0.364,0.000,0.000,0.364,0.364,21.000,0.636,23,0,A,Resign
037F8,11.500,0.000,0.250,3.000,0.000,3.250,3.250,8.875,0.250,44,3,A,Resign
037K2,32.714,0.190,0.095,0.000,0.000,0.095,0.286,26.714,0.571,20,1,W,Working
037K6,60.036,0.143,0.000,0.000,0.000,0.000,0.143,41.661,1.750,23,0,W,Working
038D7,10.167,0.500,0.833,2.167,0.000,3.000,3.500,8.417,0.167,28,4,A,Resign
038F8,10.000,0.000,0.250,0.000,0.000,0.250,0.250,10.000,0.000,44,3,A,Resign
038G9,52.524,0.000,0.286,0.048,0.000,0.333,0.333,38.524,1.333,34,3,W,Working
038H7,24.083,0.000,0.167,0.000,0.000,0.167,0.167,20.583,0.333,23,2,A,Resign
038K2,18.500,0.476,0.429,0.000,0.333,0.762,1.238,18.000,0.048,35,1,W,Working
038K5,58.000,0.000,0.381,0.000,0.000,0.381,0.381,41.500,1.571,27,1,W,Working
038K6,37.768,0.000,0.286,0.000,0.000,0.286,0.286,30.268,0.714,24,0,W,Working
039F1,19.050,0.000,0.300,0.000,0.000,0.300,0.300,15.900,0.300,36,4,A,Resign
039K3,37.258,0.419,0.323,0.032,0.000,0.355,0.774,26.419,1.032,22,1,A,Resign
039K5,54.583,0.000,0.167,0.167,0.000,0.333,0.333,37.083,1.667,19,0,A,Resign
039K6,12.500,0.000,0.000,0.000,0.000,0.000,0.000,12.500,0.000,28,0,D,Resign
040H4,13.679,0.143,0.071,0.500,0.143,0.714,0.857,10.679,0.286,22,3,A,Resign
040K3,47.282,0.000,0.000,0.410,0.051,0.462,0.462,35.436,1.128,27,1,W,Working
040K4,68.026,0.000,0.308,0.077,0.000,0.385,0.385,45.679,2.128,25,1,W,Working
040K5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36,0,D,Resign
040K6,4.643,0.000,0.000,0.000,0.000,0.000,0.000,4.643,0.000,21,0,D,Resign
041F1,11.643,0.000,0.143,0.000,0.000,0.143,0.143,10.643,0.095,30,4,W,Working
041G5,15.310,0.000,0.000,0.000,0.000,0.000,0.000,13.310,0.190,43,4,W,Working
041G8,8.000,0.238,0.619,0.381,0.000,1.000,1.238,6.500,0.143,25,3,W,Working
041H6,24.250,0.000,0.000,0.000,0.000,0.000,0.000,19.000,0.500,38,2,A,Resign
041K2,27.000,0.143,0.571,0.190,0.000,0.762,0.905,23.000,0.381,33,1,D,Resign
041K3,24.250,0.000,0.500,0.000,0.000,0.500,0.500,19.000,0.500,30,0,A,Resign
041K5,57.786,0.143,1.143,0.000,0.000,1.143,1.286,39.786,1.714,22,0,A,Resign
041K6,1.071,0.000,0.000,0.000,0.000,0.000,0.000,1.071,0.000,24,0,D,Resign
042F7,13.238,0.000,0.476,0.000,0.000,0.476,0.476,11.738,0.143,27,4,W,Working
042G9,51.619,0.095,0.095,0.048,0.000,0.143,0.238,37.119,1.381,24,3,W,Working
042H9,12.762,0.238,0.000,0.000,0.333,0.333,0.571,11.262,0.143,22,2,W,Working
042K1,57.115,0.000,0.000,0.000,0.000,0.000,0.000,41.231,1.513,23,2,W,Working
042K2,29.333,0.048,0.000,0.238,0.000,0.238,0.286,26.333,0.286,34,1,W,Working
042K4,49.731,0.128,0.256,0.051,0.077,0.385,0.513,36.808,1.231,32,1,W,Working
042K6,2.857,0.000,0.000,0.286,0.000,0.286,0.286,2.857,0.000,27,0,D,Resign
043F2,23.192,0.821,0.462,0.154,0.000,0.615,1.436,21.308,0.179,43,4,W,Working
043G2,0.625,0.750,0.500,0.750,0.000,1.250,2.000,0.625,0.000,23,3,A,Resign
043G3,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,23,3,A,Resign
043G8,0.476,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,42,3,W,Working
043G9,49.381,0.048,0.000,0.048,0.000,0.048,0.095,35.881,1.286,27,3,W,Working
043K5,54.833,0.000,0.143,0.000,0.000,0.143,0.143,40.333,1.381,29,1,W,Working
043K6,19.375,0.875,1.792,0.333,0.000,2.125,3.000,17.188,0.208,20,0,D,Resign
044F4,19.859,0.462,0.179,0.564,0.000,0.744,1.205,17.974,0.179,38,4,W,Working
044G8,8.905,0.762,0.476,0.048,0.000,0.524,1.286,7.905,0.095,37,3,W,Working
044H3,16.071,0.095,0.143,0.000,0.000,0.143,0.238,13.571,0.238,21,3,W,Working
044H6,13.952,0.000,0.095,0.000,0.000,0.095,0.095,12.452,0.143,30,3,W,Working
044K1,11.731,0.128,0.487,0.487,0.000,0.974,1.103,8.769,0.282,26,2,W,Working
044K2,39.833,0.000,0.000,0.048,0.000,0.048,0.048,31.833,0.762,26,1,W,Working
044K3,44.000,0.000,2.000,0.500,0.000,2.500,2.500,28.250,1.500,32,0,A,Resign
044K5,67.643,0.190,0.048,0.381,0.000,0.429,0.619,46.143,2.048,24,1,W,Working
044K6,32.273,0.182,0.000,0.000,0.000,0.000,0.182,22.727,0.909,20,0,A,Resign
045A8,20.929,0.214,0.143,0.214,0.000,0.357,0.571,18.679,0.214,43,5,A,Resign
045F1,11.333,0.095,0.048,0.000,0.000,0.048,0.143,9.833,0.143,45,4,W,Working
045G9,33.667,0.190,0.381,0.000,0.000,0.381,0.571,27.667,0.571,31,3,W,Working
045K6,25.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.667,20,0,A,Resign
046F1,15.190,0.190,2.952,0.286,0.238,3.476,3.667,13.190,0.190,27,4,W,Working
046G9,55.238,0.000,0.000,0.000,0.000,0.000,0.000,40.238,1.429,46,3,W,Working
046H9,14.238,0.000,0.000,0.000,0.000,0.000,0.000,12.238,0.190,26,2,W,Working
046K4,21.750,0.500,0.250,0.500,0.000,0.750,1.250,16.500,0.500,31,0,A,Resign
046K5,33.429,1.190,1.095,0.524,0.000,1.619,2.810,24.929,0.810,41,1,W,Working
046K6,44.417,0.000,0.958,0.083,0.000,1.042,1.042,33.042,1.083,30,0,A,Resign
047A5,15.452,0.000,0.476,0.095,0.000,0.571,0.571,14.452,0.095,47,6,W,Working
047F1,4.200,0.000,0.000,0.000,0.000,0.000,0.000,2.100,0.200,43,4,A,Resign
047H3,26.125,0.000,0.250,0.000,0.000,0.250,0.250,20.875,0.500,23,2,D,Resign
047K6,45.696,0.107,0.643,0.000,0.000,0.643,0.750,34.071,1.107,20,0,W,Working
048A5,13.119,0.000,0.000,0.000,0.000,0.000,0.000,11.619,0.143,44,6,W,Working
048G9,55.500,0.000,0.000,0.000,0.000,0.000,0.000,39.000,1.571,28,3,W,Working
048H2,35.643,0.000,0.143,0.000,0.000,0.143,0.143,30.143,0.524,25,3,W,Working
048H6,15.500,0.190,0.810,0.095,0.000,0.905,1.095,12.000,0.333,28,3,W,Working
048H7,16.905,0.048,0.238,0.000,0.000,0.238,0.286,14.405,0.238,39,3,W,Working
048K4,63.051,0.000,0.128,0.051,0.000,0.179,0.179,44.474,1.769,37,1,W,Working
048K5,27.000,0.000,0.000,0.500,0.000,0.500,0.500,19.125,0.750,23,0,D,Resign
