Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
223H9,15.071,0.000,0.000,0.000,0.000,0.000,0.000,13.071,0.190,27,2,W,Working
223K1,32.868,0.579,2.053,0.000,0.263,2.316,2.895,23.474,0.895,20,1,D,Resign
223K2,25.442,0.385,0.077,0.077,0.000,0.154,0.538,21.808,0.346,24,1,D,Resign
223K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18,0,A,Resign
224D9,36.154,0.077,0.103,0.000,0.000,0.103,0.179,30.769,0.513,29,5,W,Working
224F7,12.429,0.048,0.190,0.048,0.000,0.238,0.286,11.929,0.048,38,4,W,Working
224H4,15.667,0.048,0.714,0.000,0.000,0.714,0.762,13.667,0.190,26,3,W,Working
224K5,60.643,0.381,0.095,0.000,0.000,0.095,0.476,42.643,1.714,33,1,W,Working
224K6,13.750,0.000,0.000,0.000,0.000,0.000,0.000,13.750,0.000,19,0,A,Resign
225F1,0.000,0.333,0.000,0.000,0.000,0.000,0.333,0.000,0.000,27,4,D,Resign
225F2,19.654,0.051,0.000,0.154,0.282,0.436,0.487,18.577,0.103,30,4,W,Working
225F8,38.184,0.158,0.263,0.000,0.000,0.263,0.421,28.237,0.947,37,4,A,Resign
225G5,32.250,0.000,0.000,0.000,1.750,1.750,1.750,21.750,1.000,37,3,A,Resign
225H5,13.714,0.000,0.000,1.286,0.286,1.571,1.571,12.214,0.143,38,2,A,Resign
225K5,51.286,0.048,0.476,0.000,0.000,0.476,0.524,37.786,1.286,28,1,W,Working
225K6,1.250,0.000,0.000,0.500,0.000,0.500,0.500,1.250,0.000,22,0,D,Resign
226A9,9.738,0.000,0.000,0.000,0.000,0.000,0.000,8.738,0.095,39,5,W,Working
226F6,16.000,0.000,0.167,0.000,0.000,0.167,0.167,14.250,0.167,25,3,A,Resign
226G2,8.214,0.000,0.000,0.000,0.143,0.143,0.143,8.214,0.000,40,4,W,Working
226G3,12.405,0.000,0.476,0.000,0.000,0.476,0.476,10.905,0.143,39,4,W,Working
226G5,31.750,0.000,0.000,0.000,0.000,0.000,0.000,23.875,0.750,24,3,A,Resign
226G9,23.744,0.000,0.205,0.000,0.000,0.205,0.205,22.128,0.154,24,3,W,Working
226K2,10.513,0.538,1.231,0.538,0.487,2.256,2.795,10.513,0.000,23,1,W,Working
226K6,13.667,1.733,0.533,0.067,0.000,0.600,2.333,13.667,0.000,21,0,W,Working
